title,date,link,source,sentiment
WHO recommends groundbreaking malaria vaccine for children at risk - World Health Organization (WHO),2021-10-06 07:00:00,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWndoOVNPSnRvaGtPX3MyVTA0NGpNYUhfLVNWYncwWlotVkthXzJ3ZkR0T3VPT3RTOUpJZkxlZlBoLXFlUkpJc2tyVDhqcUx6MmNmNGhPbGZ5cGtrby1FdFc1MFlzQ25WQ2tlVDN2X3cycEJpT3NMNDlpYW1qN1RsemdkRFczaHAzeWlIMmF2Szl2UzZnUElaSl9YTEFLYTBZWGZPUFhETTZNLWM?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),-0.0516
New World Update 1.0.2 - News | Official New World: Aeternum Website - newworld.com,2021-10-12 07:00:00,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9xbWhMYl80Q29yNzdUZVNBOERtOTZLQm5iYzlPTWducVlndEZrOUJRWHpWTWNQWmF4bDhfZmxqTjMtSzRKbnozUFF5bUJSZWtZVUllRVA3XzIzZXV0eHNRZmdON0FIdW5J?oc=5&hl=en-US&gl=US&ceid=US:en,newworld.com,0.0
Double amputee beats breast cancer diagnosis - ABC News,2021-10-15 07:00:00,https://news.google.com/rss/articles/CBMikgFBVV95cUxPY2VLY2VncmNaNG8xdkF6ZnBtd0oxUEhyUXAxU0owdFpDMXY1VVNRXy1xYkw3UDI2dXRsaGxVSjZ6ZGtER05TUW5wWWZkdkRGT1hBc21KazJpcko5a2lfTGRfNXhvSnV1V2QxaGdRUkhLMVU1SVdLRERXa2tNY2JyOU1tYVk5d0R4UlY2bjVPY0xBd9IBlwFBVV95cUxOZEs2YUZzLU1aYUktVk41ZURtRWlpVkhjWWhkN082UEw4TnhmYTQ5YXJveXBOWGdkS2JSaGhENFVkTVUxdEI3QW9QeGl5eEhacW43QVY1YTViN0RTTExPTHlVdnZjVGpxNzBJWk80eU9EWXVrUzR0ZU0zZVBOLUpYWFVSdEJlZ2ViZFpWdlgxeHVWeUt6Rl8w?oc=5&hl=en-US&gl=US&ceid=US:en,ABC News,-0.6597
What is the 'One China' policy? - BBC,2021-10-06 07:00:00,https://news.google.com/rss/articles/CBMiX0FVX3lxTFAtdXdfenFLdDRvZVVuZ1VJbnEzaDF0R3hNUmxISHdiRFppQUdqUlNHRTEzbFdueXlkbTNxYkpsNnBJUGc4eERDZUlqUVhZMHNrZ0NpbFNUQzRGSEVtUE9z0gFkQVVfeXFMTk44ZFJJMnNnRDhSWUNBRmp6S3RzVXdaWHpINV9uTG1nOWxYQ294UFFNSmcyZVZtUk1CWGI3VVRzbGU4TGRNaGV1UEp1WmRTNlo0TGpyLTRPRkIwVFRkUC13aEZTNg?oc=5&hl=en-US&gl=US&ceid=US:en,BBC,0.0
SBU Ranks No. 195 in U.S. News & World Report 2022 Global University Rankings - SBU News,2021-10-27 07:00:00,https://news.google.com/rss/articles/CBMiswFBVV95cUxPdkpxcXZuSF9jLWZQZ3k1S0EwVnNZdU02NFNqckktQTZMSzdiVFliMU9XSUxnd2toRGZXd0MtYndBNWNpVDZ4azBuUmtRbE0wX25CTU1wWEtrUERZMzZoZWkyMjB2Ukh5a1dOQkdPdlp3NkdlcTBrakhOZzhYN0EwaVMySk1fQmNxRHdTcWNXQTZ0aUFXWklXTmdIYTN1dm9zS2RxR21STl9ySWFlbjdiOGk0NA?oc=5&hl=en-US&gl=US&ceid=US:en,SBU News,-0.296
"UC Berkeley again No.1 public, fourth best globally in U.S. News rankings - Berkeley News",2021-10-26 07:00:00,https://news.google.com/rss/articles/CBMirgFBVV95cUxOTG5qSmd2ZEpONS1Qd0FSY1N4eTc4bU13ZlB3TTdZY2M1cmtXMC1RN0Y0NlItNTRIS0dIbzlFZWNhREx3SnlpdnpGZjVZZmFpLXF1b1U0eWVnSXNZYTJxWWpXRm9HVU44YmNETGg2Tjl4eXVrNjAyN1FhSnVhQUNjNGxaZWhDQjRYVW1vU3lxbmp2TGlZeDFSVy1YWWFTQmt0RkxiWkliWVlvZXZKSEE?oc=5&hl=en-US&gl=US&ceid=US:en,Berkeley News,0.6369
U.S. News & World Report releases first rundown of elementary and middle schools - OCDE Newsroom,2021-10-21 07:00:00,https://news.google.com/rss/articles/CBMilAFBVV95cUxQZExKc25IUW9KZGJUMVlyZldZTkduYXUyT1lvQXRhWmpyZ2VpWFFOakxINzQ4X255b2lISkZ3dkViS1BILU9oYklJU0d0Ty1sUUItaEI0bmdiNnlHbHF5UFg1Q1ZOblAtcVR4bTN0LUgyTV82a0JfLVY2SHEydVROdmVULXpOMGZkSUpmTTFCSC1rLWFt?oc=5&hl=en-US&gl=US&ceid=US:en,OCDE Newsroom,0.0
UArizona Ranked in Top 10 for Space Science on Latest US News Best Global Universities List - University of Arizona News,2021-10-27 07:00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxPNUQwemtpX3FqaVUtLUtSZm5yUEw2MEhacnFSbTRaMlRWejhxYzVNV2hBdHlQM2ppRDdzWl9URjhHM0M0bzdzOWFZMmpSaVJYLWdvREFQTGZWcXNhUW1WbUVsNHNCeEdnY0RvTUpiRF9xaElFaFRzaGN1NFV3ZnVwOWl5RlBQSHV6SDNIOXZTUnZleThaNzV4QVVyZkdueF9kZ0JDVTQ3Q092QWxKTzNPaA?oc=5&hl=en-US&gl=US&ceid=US:en,University of Arizona News,0.7184
The relevance of impartial news in a polarised world - reutersinstitute.politics.ox.ac.uk,2021-10-19 07:00:00,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOd1BlNGhfTEoySF9MUloxNkhKa1JKeERsVGhkVVY5Rng3TlYzQV9ibUxCWlFwTEl3SEczS1p3VGpIbktWRDdmLW5zTmpSekRhRkoxbE5JY3otTkNtcWZ1NUU2cGdPclFLTDdTT0RyZUNmS0JrM3YtUmdPeVRkUDdpdmNNQzNESmt0d21R?oc=5&hl=en-US&gl=US&ceid=US:en,reutersinstitute.politics.ox.ac.uk,0.0
Bulgaria enlists Fluor and NuScale - World Nuclear News,2021-10-29 07:00:00,https://news.google.com/rss/articles/CBMihAFBVV95cUxPeDlQcVVBN2ZIR0kwcldfRFFMNDFjVkFKLVdSSDQ1Qld3WVZXTHVPZzFlV1pSRzNjaDdITTFoTjJEbFBILUlVNzZ3TFZvdU1CWGM4dXlQRFROdldTMGFRVUNReldaSlRocXlXSWtWaWxtS2xXNHl2TzRmZl9iOEZpZVdfR1Y?oc=5&hl=en-US&gl=US&ceid=US:en,World Nuclear News,0.0
